1	6.37	3.50
2	5.18	3.65
3	4.32	2.58
4	3.57	3.58
5	5.07	3.84
6	5.70	2.21
7	7.06	1.51
8	3.58	2.32
9	6.25	4.21
10	5.64	4.45
11	4.81	2.19
12	7.00	3.28
13	4.50	2.86
14	5.36	2.10
15	4.71	2.87
16	5.39	2.32
17	5.74	4.48
18	5.41	2.28
19	5.35	1.33
20	5.98	3.92
21	6.18	-0.20
22	4.94	4.34
23	5.55	-0.25
24	5.80	4.00
25	4.66	2.88
26	4.34	3.40
27	3.79	3.17
28	4.72	2.73
29	5.63	3.49
30	4.84	3.36
31	4.24	2.64
32	4.64	1.82
33	4.33	2.89
34	5.20	4.27
35	4.48	2.68
36	4.08	3.02
37	5.65	3.11
38	5.52	3.16
39	5.66	3.03
40	4.45	3.17
41	3.64	2.28
42	5.46	3.37
43	5.99	3.96
44	6.86	1.70
45	6.17	3.32
46	6.09	2.31
47	5.56	3.80
48	4.39	1.37
49	4.93	3.17
50	4.13	3.46
51	4.12	2.69
52	2.20	4.80
53	4.18	4.21
54	4.13	2.16
55	4.82	4.20
56	4.34	3.07
57	5.54	2.59
58	4.87	3.27
59	5.97	3.65
60	3.75	2.95
61	4.26	2.26
62	4.59	2.56
63	3.75	3.82
64	5.16	3.45
65	4.55	2.18
66	4.92	2.86
67	6.80	2.80
68	6.03	2.69
69	6.15	0.32
70	5.71	3.52
71	3.18	3.80
72	5.17	1.39
73	4.04	3.35
74	4.85	5.12
75	6.03	4.10
76	4.60	1.29
77	4.95	3.66
78	4.61	1.69
79	4.45	2.23
80	4.22	4.63
81	5.21	2.51
82	4.93	3.40
83	4.90	4.60
84	6.33	3.51
85	3.73	2.26
86	7.48	2.85
87	5.09	5.01
88	5.95	2.01
89	4.96	4.55
90	4.07	2.09
91	4.14	2.10
92	4.51	3.65
93	7.13	3.28
94	4.98	2.89
95	3.60	2.63
96	3.81	2.33
97	4.06	1.47
98	4.12	1.45
99	3.63	3.55
100	6.28	1.77
101	4.96	1.09
102	5.57	3.01
103	4.86	3.36
104	5.45	3.13
105	4.81	2.15
106	6.00	4.42
107	4.20	3.54
108	3.44	3.11
109	4.49	1.92
110	5.94	1.49
111	5.79	4.09
112	5.47	2.73
113	6.02	4.27
114	3.82	3.28
115	5.02	5.12
116	4.97	2.75
117	4.51	1.64
118	5.70	2.87
119	4.45	2.91
120	4.33	3.00
121	6.77	2.45
122	6.35	4.56
123	4.95	3.32
124	4.47	2.66
125	3.82	2.75
126	5.48	3.29
127	3.60	3.82
128	6.92	3.96
129	6.12	3.70
130	3.91	4.16
131	5.55	2.71
132	5.59	1.66
133	5.25	2.11
134	3.77	2.55
135	5.66	1.35
136	5.21	2.95
137	4.60	4.13
138	3.13	3.82
139	6.85	4.11
140	4.21	2.43
141	6.18	3.28
142	5.17	2.35
143	3.90	0.65
144	4.78	3.31
145	5.91	3.77
146	4.24	3.50
147	5.31	4.07
148	6.24	2.81
149	5.64	1.24
150	4.98	1.70
151	4.62	4.26
152	3.96	5.12
153	4.62	2.83
154	3.19	3.59
155	5.05	2.60
156	4.22	2.31
157	5.34	4.76
158	7.08	3.18
159	6.29	3.68
160	5.69	4.75
161	6.04	4.42
162	5.18	2.51
163	4.18	3.74
164	6.54	2.48
165	5.68	2.33
166	4.20	4.47
167	5.91	1.63
168	5.27	2.83
169	5.09	3.58
170	4.84	2.97
171	7.05	4.06
172	4.13	2.71
173	5.87	3.99
174	4.60	1.27
175	5.16	1.72
176	3.45	2.76
177	4.60	3.43
178	5.61	1.97
179	5.40	3.12
180	5.06	3.17
181	4.39	2.91
182	4.86	3.28
183	3.75	4.06
184	6.81	2.76
185	5.42	5.18
186	4.00	2.46
187	6.73	3.26
188	5.65	3.00
189	5.72	1.93
190	4.48	2.78
191	4.24	4.80
192	4.29	4.24
193	6.54	3.79
194	3.40	2.94
195	4.13	2.87
196	3.12	2.87
197	6.03	3.19
198	5.38	3.62
199	6.00	3.77
200	5.84	5.09
201	3.98	2.20
202	3.31	4.62
203	5.21	3.03
204	5.93	3.81
205	2.53	1.62
206	6.11	2.93
207	5.25	2.43
208	4.23	2.40
209	4.65	0.35
210	4.24	3.26
211	5.58	2.01
212	7.04	3.02
213	5.84	2.90
214	5.62	3.19
215	3.64	2.23
216	6.70	3.23
217	5.63	4.42
218	4.41	2.49
219	5.45	2.65
220	4.40	3.31
221	6.07	3.21
222	3.74	5.00
223	5.17	4.04
224	3.91	3.13
225	4.95	3.62
226	4.58	2.80
227	4.94	1.80
228	5.88	2.92
229	4.83	3.49
230	5.36	1.42
231	4.21	2.63
232	5.19	2.62
233	6.50	4.37
234	4.53	2.48
235	5.47	3.36
236	6.51	2.59
237	4.11	3.21
238	4.93	2.65
239	5.90	2.81
240	6.72	4.00
241	4.85	3.67
242	5.67	3.09
243	5.13	2.84
244	5.57	3.77
245	6.08	0.58
246	5.99	1.76
247	4.78	2.69
248	5.44	3.50
249	5.58	4.28
250	6.93	2.17
251	4.54	1.62
252	6.45	4.55
253	5.00	2.28
254	3.16	4.55
255	3.36	2.52
256	4.50	3.60
257	7.88	3.98
258	6.07	4.15
259	4.34	2.65
260	4.30	3.11
261	4.14	5.56
262	4.74	3.90
263	4.88	1.00
264	3.51	3.37
265	7.15	4.56
266	5.17	4.18
267	4.78	1.68
268	5.95	2.80
269	3.21	1.67
270	6.26	3.55
271	2.48	2.78
272	7.00	1.53
273	3.47	2.04
274	6.26	4.61
275	4.15	3.83
276	3.90	5.13
277	6.35	3.40
278	3.61	3.27
279	5.94	1.17
280	4.47	2.28
281	4.79	2.28
282	4.44	3.50
283	6.21	5.23
